author,book,year,country
Virginia Woolf,The Waves,1931,🇬🇧 UK
George Orwell,Down and Out in Paris and London,1933,🇬🇧 UK
George Orwell,Cigarettes and Books,1946,🇬🇧 UK
George Orwell,1984,1949,🇬🇧 UK
J.R.R. Tolkien,The Hobbit,1937,🇬🇧 UK
Evelyn Waugh,The Loved One,1948,🇬🇧 UK
Ted Hughes,Lupercal,1960,🇬🇧 UK
Ted Hughes,Birthday Letters,1998,🇬🇧 UK
Zadie Smith,White Teeth,2000,🇬🇧 UK
Zadie Smith,On Beauty,2005,🇬🇧 UK
Ian McEwan,Atonement,2001,🇬🇧 UK
Kazuo Ishiguro,Never Let Me Go,2005,🇬🇧 UK
Simon Armitage,Sir Gawain and the Green Knight,2007,🇬🇧 UK
Simon Armitage,Beowulf,2020,🇬🇧 UK
Emily Dickinson,,,🇺🇸 USA
Nathaniel Hawthorne,The Scarlet Letter,1850,🇺🇸 USA
Walt Whitman,Leaves of Grass,1855,🇺🇸 USA
Henry James,Washington Square,1880,🇺🇸 USA
F. Scott Fitzgerald,This Side of Paradise,1920,🇺🇸 USA
F. Scott Fitzgerald,The Great Gatsby,1925,🇺🇸 USA
Robert Frost,,,🇺🇸 USA
Ezra Pound,,,🇺🇸 USA
T.S. Elliot,The Waste Land,1922,🇺🇸 USA
John Steinbeck,The Grapes of Wrath,1939,🇺🇸 USA
John Steinbeck,Cannery Row,1945,🇺🇸 USA
John Steinbeck,East of Eden,1952,🇺🇸 USA
Sylvia Plath,Ariel,1965,🇺🇸 USA
Alice Walker,The Color Purple,1982,🇺🇸 USA
Toni Morrison,Beloved,1987,🇺🇸 USA
André Aciman,Call Me By Your Name,2007,🇺🇸 USA
Elizabeth Strout,Olive Kitteridge,2008,🇺🇸 USA
Donna Tartt,The Goldfinch,2013,🇺🇸 USA
Gustave Flaubert,Madame Bovary,1857,🇫🇷 France
Charles Baudelaire,Les Fleurs du mal,1857,🇫🇷 France
Marcel Proust,La Fin de la jalousie,1896,🇫🇷 France
Albert Camus,La Chute,1956,🇫🇷 France
Simone de Beauvoir,Mémoires d’une jeune fille rangée,1958,🇫🇷 France
Annie Ernaux,Une femme,1988,🇫🇷 France
Dante Alighieri,The Divine Comedy,1320,🇮🇹 Italy
Natalia Ginzburg,È stato così,1947,🇮🇹 Italy
Elena Ferrante,La figlia oscura,2006,🇮🇹 Italy
Domenico Starnone,Lacci,2014,🇮🇹 Italy
Johann Wolfgang von Goethe,Die Leiden des jungen Werthers,1774,🇩🇪 Germany
Thomas Mann,Der Tod in Venedig,1912,🇩🇪 Germany
Franz Kafka,Die Verwandlung,1915,🇩🇪 Germany
Hermann Hesse,Siddhartha,1922,🇩🇪 Germany
Stefan Zweig,Schachnovelle,1942,🇦🇹 Austria
Alexander Pushkin,Eugene Onegin (Евгений Онегин),1833,🇷🇺 Russia
Nikolai Gogol,Dead Souls (Мёртвые души),1842,🇷🇺 Russia
Ivan Turgenev,Fathers and Sons (Отцы и дети),1862,🇷🇺 Russia
Vladimir Nabokov,Lolita,1955,🇷🇺 Russia
Boris Pasternak,Doctor Zhivago (Доктор Живаго),1957,🇷🇺 Russia
Mikhail Bulgakov,The Master and Margarita (Мастер и Маргарита),1967,🇷🇺 Russia
Elias Lönnrot,The Kalevala,1835,🇫🇮 Finland
Tove Jansson,Småtrollen och den stora översvämningen,1945,🇫🇮 Finland
Tove Jansson,Trollkarlens hatt,1948,🇫🇮 Finland
Tove Jansson,Muminpappans bravader,1950,🇫🇮 Finland
Tove Jansson,Muminpappans memoarer,1968,🇫🇮 Finland
Tove Jansson,Farlig midsommar,1954,🇫🇮 Finland
Tove Jansson,Trollvinter,1957,🇫🇮 Finland
Tove Jansson,Pappan och havet,1965,🇫🇮 Finland
Tove Jansson,Sent i november,1970,🇫🇮 Finland
Tove Jansson,Sommarboken,1972,🇫🇮 Finland
Tove Jansson,Rent Spel,1989,🇫🇮 Finland
Selma Lagerlöf,Nils Holgerssons underbara resa genom Sverige,1906,🇸🇪 Sweden
Tomas Tranströmer,The Half-Finished Heaven,1962,🇸🇪 Sweden
Tove Ditlevsen,Childhood Youth Dependency,1967,🇩🇰 Denmark
